Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
100021,2010,2/16/2011,Ashford,AMIDON DR,45800,2500.0,18.32,Nan,Nan,1
100050,2010,6/30/2011,Killingworth,106 COW PEN HILL ROAD,267070,331000.0,0.806858006,Single Family,Single Family,1
10435,2010,9/14/2011,Manchester,23 SANRICO DRIVE,416800,700000.0,0.595428571,Nan,Nan,1
100003,2010,10/1/2010,Meriden,403 PINE MEADOW,83920,112000.0,0.749285714,Condo,Condo,0
10557,2010,7/22/2011,Milford,34 QUAKER PLACE,287890,380000.0,0.757605263,Single Family,Single Family,1
10399,2010,6/29/2011,Hamden,42 NORTH LAKE DR U:F2,82600,80000.0,1.0325,Condo,Condo,1
10657,2010,3/1/2011,Bridgeport,223 IRANISTAN/760 ATLANTIC ST,1727490,2100000.0,0.822614286,Nan,Nan,1
100244,2010,6/29/2011,Farmington,7 CLERMONT PARK,855460,1075000.0,0.795776744,Single Family,Single Family,1
100287,2010,8/19/2011,Cheshire,411 EAST MITCHELL,59500,81000.0,0.734567901,Condo,Condo,1
10271,2010,7/6/2011,Groton,11-13 WATER ST,323169,475000.0,0.680355789,Nan,Nan,1
100400,2010,6/22/2011,Meriden,104 ORCHID RD,159450,175000.0,0.911142857,Single Family,Single Family,1
100038,2010,10/19/2010,Danbury,5 LAKE RD,702800,805000.0,0.873043478,Single Family,Single Family,0
100010,2010,4/26/2011,Eastford,147 PILFERSHIRE RD,167870,135000.0,1.243481481,Single Family,Single Family,1
10626,2010,8/17/2011,Milford,228 ROSES MILL ROAD,246270,140000.0,1.759071429,Single Family,Single Family,1
10582,2010,8/1/2011,Milford,51 DAYTONA AVENUE,274280,265000.0,1.035018868,Single Family,Single Family,1
100130,2010,12/21/2010,Meriden,71 ROUND HILL RD,113240,120000.0,0.943666667,Single Family,Single Family,0
10182,2010,2/11/2011,Glastonbury,65 COOPER DR,166300,200000.0,0.8315,Single Family,Single Family,1
100015,2010,11/3/2010,Litchfield,81 RICHARDS RD,161340,250000.0,0.64536,Single Family,Single Family,0
10789,2010,4/6/2011,Bridgeport,810 BRIARWOOD AVENUE,141180,145000.0,0.973655172,Single Family,Single Family,1
10104,2010,11/1/2010,Bridgeport,208-214 HARRAL AVENUE,233280,174000.0,1.340689655,Four Family,Four Family,0
10392,2010,6/28/2011,Hamden,37 WAKEFIELD ST,208880,266000.0,0.785263158,Single Family,Single Family,1
10248,2010,6/15/2011,Groton,1042 POQUONNOCK RD LOT 59,14350,16000.0,0.896875,Condo,Condo,1
100181,2010,4/19/2011,Branford,1 BLACKSTONE AVE,1073900,1599999.0,0.671187919,Single Family,Single Family,1
100330,2010,5/13/2011,Meriden,13 CARPENTER HGTS,116330,198500.0,0.58604534,Single Family,Single Family,1
10047,2010,4/1/2011,Derby,146 NEW HAVEN AVE,133000,152500.0,0.872131148,Nan,Nan,1
10724,2010,3/23/2011,Bridgeport,573 STILLMAN STREET,183090,68990.0,2.653862879,Two Family,Two Family,1
10021,2010,11/4/2010,Colchester,104 COLCHESTER COMMONS,82300,108000.0,0.762037037,Single Family,Single Family,0
10432,2010,6/1/2011,Milford,95 MERWIN AVENUE,819440,1185000.0,0.691510549,Single Family,Single Family,1
10312,2010,6/9/2011,Glastonbury,2225 MAIN ST,451700,605000.0,0.74661157,Nan,Nan,1
10853,2010,4/25/2011,Bridgeport,219-229 COLEMAN STREET,239800,83800.0,2.861575179,Four Family,Four Family,1
100126,2010,4/26/2011,Guilford,49 STATE ST,281090,365000.0,0.770109589,Single Family,Single Family,1
101117,2010,6/27/2011,Bridgeport,95 LEIGHTON ROAD,160080,225000.0,0.711466667,Single Family,Single Family,1
10093,2010,11/19/2010,Hartford,29-31 NEPAUG ST,57220,97500.0,0.586871795,Two Family,Two Family,0
100018,2010,10/15/2010,Cheshire,45 CORLISS LANE,432500,670000.0,0.645522388,Single Family,Single Family,0
100065,2010,12/30/2010,New Canaan,199 MAIN STREET,1599360,720000.0,2.221333333,Single Family,Single Family,0
10041,2010,12/20/2010,Cromwell,8 MOHAWK COURT,123510,166300.0,0.742693927,Condo,Condo,0
10377,2010,7/8/2011,Glastonbury,696 CHESTNUT HILL RD,610200,858000.0,0.711188811,Single Family,Single Family,1
10053,2010,11/17/2010,Manchester,69 CHILSTONE WAY,70000,90000.0,0.777777778,Nan,Nan,0
10040,2010,11/1/2010,Manchester,325 HIGHLAND STREET,145600,197500.0,0.73721519,Single Family,Single Family,0
100063,2010,8/5/2011,East Granby,12 WYNDING HILLS RD,160000,225000.0,0.711111111,Single Family,Single Family,1
100010,2010,10/7/2010,Berlin,741 NORTON RD,124700,40608.0,3.070823483,Single Family,Single Family,0
10302,2010,6/2/2011,Glastonbury,240 COMMERCE ST,359600,1300000.0,0.276615385,Nan,Nan,1
10020,2010,12/16/2010,East Haddam,306 TOWN ST,832060,500000.0,1.66412,Single Family,Single Family,0
100018,2010,3/3/2011,Harwinton,2-10 SOUTH RD,309270,210000.0,1.472714286,Nan,Nan,1
10091,2010,11/19/2010,Hartford,344-346 WOODLAND ST,10000,22500.0,0.444444444,Nan,Nan,0
10614,2010,2/22/2011,Bridgeport,292-298 WHEELER AVENUE,200510,150000.0,1.336733333,Four Family,Four Family,1
100055,2010,8/23/2011,Marlborough,120 DICKENSON RD,160300,127500.0,1.257254902,Single Family,Single Family,1
10112,2010,8/18/2011,Canton,21 COUNTRY LANE,178100,268000.0,0.664552239,Single Family,Single Family,1
100226,2010,1/10/2011,Danbury,16 SUNSET DR,625100,1152000.0,0.542621528,Single Family,Single Family,1
10002,2010,10/7/2010,Derby,16 JOHN ST,194950,265000.0,0.735660377,Single Family,Single Family,0
10469,2010,1/10/2011,Bridgeport,45 EVERS PLACE,84280,100000.0,0.8428,Single Family,Single Family,1
100145,2010,3/10/2011,Farmington,131 SOMERSBY WAY,683620,1182965.0,0.57788692,Single Family,Single Family,1
100683,2010,9/1/2011,Danbury,60 PADANARAM RD #H-41,167700,210000.0,0.798571429,Condo,Condo,1
10142,2010,2/24/2011,Groton,36 RIVERVIEW AVE,139230,149900.0,0.928819213,Single Family,Single Family,1
100032,2010,11/12/2010,East Lyme,38 TERRACE AVE,132720,175000.0,0.7584,Single Family,Single Family,0
10189,2010,1/7/2011,Milford,54 WILSHIRE BLVD,211820,240000.0,0.882583333,Single Family,Single Family,1
100535,2010,8/11/2011,New Britain,104 OAK ST,109830,30000.0,3.661,Two Family,Two Family,1
10146,2010,1/11/2011,Glastonbury,58 HIGH ST,271300,250000.0,1.0852,Single Family,Single Family,1
100144,2010,4/18/2011,Berlin,65 GRISWOLD DR,177100,225000.0,0.787111111,Single Family,Single Family,1
